Nome,Cozinha1,Cozinha2,Bairro,Almoco,Jantar,Menu
El Carreiro,Argentina, Parrilla,Stella Maris,"R$ 73,90","R$ 94,90",+Plus
La Lupa,Italiana, Mediterrânea,Santo Antônio Além do Carmo,"R$ 73,90","R$ 94,90",+Plus
Cedro - Quality Hotel e Suítes São Salvador,Contemporânea,,Stiep,"R$ 73,90","R$ 94,90",+Plus
Canto Restaurante,Internacional,,Rio Vermelho,"R$ 95,00","R$ 115,00",Premium
Joca Mesa Bar,Contemporânea, Regional,Santo Antônio,"R$ 73,90","R$ 94,90",+Plus
Allê Varanda bar,,,Santo Antônio,,"R$ 94,90",+Plus
O Bistrô,,,Rio Vermelho,"R$ 73,90",,+Plus
Mariposa - Vilas do Atlântico,,,Vilas do Atlântico,"R$ 59,90",,RW
KI-Mukeka Espress,,,São Cristóvão,"R$ 95,00","R$ 115,00",Premium
Solar Rio Vermelho,Contemporânea,,Rio Vermelho,"R$ 95,00","R$ 115,00",Premium
Vini Figueira Gastronomia,Contemporânea, Internacional,Rio Vermelho,"R$ 95,00","R$ 115,00",Premium
Pasárgada Kebab Grill & Bar,Árabe, Oriental,A Rio Vermelho,"R$ 73,90","R$ 94,90",+Plus
Amada Lisboa Restaurante - Salvador,Portuguesa,,Rio Vermelho,"R$ 95,00","R$ 115,00",Premium
Vini Figueira Mar,Mediterrânea,,Rio Vermelho,"R$ 95,00","R$ 115,00",Premium
Silva,Contemporânea,,Rio Vermelho,"R$ 95,00","R$ 115,00",Premium
Vishnu Culinária Indiana,Indiana,,Rio Vermelho,,"R$ 94,90",+Plus
AYRÀ,,,Rio Vermelho,,"R$ 94,90",+Plus
Ainá Lamen,Japonesa,,Rio Vermelho,,"R$ 74,90",RW
Bottino Ristorante Italiano,Italiana,,Rio Vermelho,"R$ 95,00","R$ 115,00",Premium
Confraria das Ostras,Contemporânea,,Rio Vermelho,"R$ 73,90","R$ 94,90",+Plus
Isola Cucina Italiana,Italiana,,Rio Vermelho,"R$ 95,00","R$ 115,00",Premium
Salvador Dalí,Contemporânea,,Rio Vermelho,"R$ 95,00","R$ 115,00",Premium
Boteco Português,Portuguesa,,Rio Vermelho,"R$ 95,00","R$ 115,00",Premium
Jabu Resto & Bar,Fusion,,Rio Vermelho,,"R$ 94,90",+Plus
CÖA Restaurante e Bar,Contemporânea, Internacional,Rio Vermelho,,"R$ 94,90",+Plus
Principote,Mediterrânea,,Rio Vermelho,"R$ 95,00","R$ 115,00",Premium
Pasta em Casa - Rio Vermelho,Italiana,,Rio Vermelho,"R$ 95,00","R$ 115,00",Premium
aSè Gastrobar - Hotel Mercure Pituba,Contemporânea, Tradicional,Pituba,"R$ 73,90","R$ 94,90",+Plus
Martim Pescador - Pituba,Frutos do mar, Japonesa,Pituba,"R$ 73,90",,+Plus
Riz Bistrot,Francesa,,,"R$ 73,90","R$ 94,90",+Plus
Le Vin Empório - Pituba,Contemporânea,,Pituba,"R$ 73,90","R$ 94,90",+Plus
La Pasta Gialla - Pituba,Italiana,,Pituba,"R$ 95,00","R$ 115,00",Premium
Cremonini,Italiana,,Pituba,"R$ 95,00","R$ 115,00",Premium
Restaurante Varanda Baiana,,,Ribeira,"R$ 73,90","R$ 94,90",+Plus
Cazolla - Pituba,Hamburgueria,,Pituba,"R$ 73,90",,+Plus
Bouchon Empório,,,Pituba,,"R$ 94,90",+Plus
Yan Ping,Japonesa, Chinesa,Pituba,"R$ 73,90","R$ 94,90",+Plus
Arabesque,Árabe,,Pituba,"R$ 73,90","R$ 94,90",+Plus
Puxadinho Restaurante,Brasileira,,Pituba,,"R$ 115,00",Premium
la Bottega antipasti & vino,Italiana,,,"R$ 73,90","R$ 94,90",+Plus
Lar Café Bistrô,,,Pituba,,"R$ 94,90",+Plus
Purgatório Bar,Brasileira,,Pituba,,"R$ 115,00",Premium
Proa Bar,Contemporânea,,,"R$ 95,00","R$ 115,00",Premium
Di Giuseppe,Italiana,,Pituba,"R$ 95,00","R$ 115,00",Premium
Pirambeira,,,Pituba,"R$ 73,90",,+Plus
Buddha Bistro Asiático,Asiática,,Pituba,"R$ 73,90","R$ 94,90",+Plus
Maria Mata Mouro,Contemporânea,,Pelourinho,"R$ 73,90","R$ 94,90",+Plus
Muy Massa,,,Pituba,"R$ 95,00","R$ 115,00",Premium
